,ratings,comments
260,1,유치하고 장난 스럽다 이게 1600만 이라니 참나 
261,1,이게ㅋㅋㅋㅋ 에효.... 수준낮은것들
262,8,쏴 쏘라고 새끼야 ㅋㅋㅋ
263,9,
264,9,영화관에세 깔깔 웃으면서 봤습니다! 너무 재밌어요
265,5,"이해안되는 천만영화 7번방의 선물, 극한직업 진심 억지 웃음  딱 5점짜리"
266,3,ㅎ 양심적으로 해야지 평점이나 리뷰를 혹 돈받아 리뷰나 평점주면 그건 먹고 살기위해 어쩔수없지만  영화관에서 2번 정도 살짝 웃고 끝 니맛도 내맛도 없는 영화 
267,10,재밌음
268,8,재밌음ㅎㅎ 천만까진 아닌 듯한데... 이유가뭔지 개봉당시 별 재밌는 영화가 없었든듯
269,6,너무 엉성하다. 그냥 추석 영화네
270,0,ㄴㅈ
271,10,
272,1,이걸 영화라고 만들었냐? 보다가 중간에 끊긴 처음이다.
273,6,코미디만 한 길
274,1,지루하네요.  안 웃기고 유치.  
275,1,이게 천만이라니 아무리 높게 봐도 400만인데
276,1,하.. 이런  영화가 역대 관객수 2위임?ㅋㅋㅋㅋ  진짜 딱 b급 영환데 하... 수준들 참..하...
277,10,
278,10,이하늬 매력터진다!! 너무 재미있고 유쾌합니다. 덕분에 즐거운 시간이됐네요 
279,1,다운받아 봤는데.. 잠오는 영화
280,1,재미 진짜없음!!  홍보는 그럴듯하게 웃기고 재미있어 보이는데  생각했든만큼 노잼..... 
281,10,완전재밌다
282,10,안보면 후회함. DVD로 혼자 빵빵터짐. 영화관에서 봤으면 더 재미있었을듯.
283,3,
284,8,재밌는데 2%부족? 근데 이게 천만감은 좀..
285,10,잼싸오
286,10,스트레스풀리고 재밌게 봤었어요
287,6,"영화 재밌는데, 천 만은 좀 ㅋㅋㅋㅋ"
288,3,
289,10,
290,3,내가 문제인건가! 이런 걸 보고 재미를 느껴야 되는데... 느끼지 못하는...ㅠ
291,0,유치해요~ 홍보에 속았습니다.
292,1,
293,8,볼만하면 된건가? ㅋ 딱 200만짜리같긴한데 ㅋ
294,7,영화볼때까지만 하더라도  천만까지 갈 줄은 몰랐는데 생각보다 미친듯이 빵빵 터지진 않고 소소하게 웃기긴 함 쓸데없이 막판에 신파라든가 이런거 없어서 좋았음
295,10,개그코드가... 너무... 잘... 맞았었다..
296,1,이게  천만영화라고???????????? 다들 돈이 많은가부네.
297,2,ㅋㅋㅋ    한국사람들 영화 보는 수준이...
298,10,클라뜨
299,2,댓글알바들이 많은건가??인간적으로 진짜재미없었음....졸려웠다 ㅋ
300,9,찰진 연기의 합이 어우러져서 맛깔란 영화로 드러난다.
301,5,한국인들  영화보는 눈 꽤 높다면서. ㅜㅜ 제대로 낚인영화..코미디영환데 작품성 따지냐고 하겠지만  작품성이 문제가 아니라 전체적으로  퀄이 떨어져요..억지웃음 유발이 한두군데도 아니고. 어디부분이  도데체 웃기다는건지..개그코드가 내가 안맞는건가..ㅜㅜ
302,3," 1,600만명이 볼 정도에 영화인가 의문스럽네..  재미 있어 본게 아니고 볼게 없어 본 영화 같네요..  ㅠ"
303,10,
304,9,잼나
305,8,
306,10,
307,0,이것은 헛웃음인가 비웃음인가 지금까지 이런 병맛은 없었다. 왜곡된 평점조정이 시급함
